Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je vizualizace technologického procesu?;Zobrazení stavu a průběhu procesu na monitoru nebo panelu;Ovládání světel v hale;Měření napětí na čidle;Zesílení signálu v PLC;Změna teploty v motoru
K čemu slouží vizualizační systémy?;Ke sledování a řízení technologických procesů;K napájení čidel;Ke chlazení zařízení;K programování PLC;K řízení motoru
Co je SCADA?;Nadřazený řídicí a monitorovací systém;Jednoduché reléové řízení;Snímač teploty;Typ pohonu;Záložní zdroj energie
Jaké funkce má SCADA systém?;Sběr, přenos, zobrazení a archivace dat, ovládání;Pouze ovládání zařízení;Pouze měření napětí;Zesílení signálu;Zálohování napětí
Co je HMI?;Rozhraní mezi člověkem a strojem;Motor;Pojistka;Programovací jazyk;Typ čidla
Jaká zařízení tvoří vizualizační systém?;HMI panel, řídicí jednotka, senzory, zobrazovač;Motory, převodovky, PLC;Senzory, čidla, pneumatika;Stykače, relé, jističe;Kondenzátory, odpory, svorky
Jak SCADA získává data z výrobního procesu?;Z PLC a dalších zařízení pomocí komunikačních protokolů;Pomocí mikrovln;Z USB disku;Hlasovým vstupem;Z cloudového úložiště
Jaká je výhoda vizualizace?;Přehledné zobrazení a možnost dálkového řízení;Nižší cena zařízení;Rychlejší signál;Nižší spotřeba;Menší rozměry zařízení
Co je trend v SCADA systému?;Grafické znázornění vývoje veličiny v čase;Změna barvy panelu;Změna směru toku dat;Změna rozměru displeje;Náhodné hodnoty
K čemu slouží alarmy ve SCADA?;Upozorňují na mimořádné nebo chybové stavy;Zvýší napětí v systému;Měří teplotu zařízení;Upravují program;Vypínají systém
Jaké barvy se běžně používají ve SCADA vizualizaci?;Zelená – OK, červená – porucha, žlutá – varování;Modrá – nečinnost, růžová – reset;Fialová – aktivní, bílá – chyba;Oranžová – start, černá – konec;Zlatá – výkon, stříbrná – útlum
Jak se ovládá zařízení přes SCADA?;Kliknutím na grafické prvky na obrazovce;Přes externí čidla;Pomocí hlasových příkazů;Z USB tlačítka;Pomocí optických kabelů
Co je archivace dat?;Ukládání historických hodnot pro analýzu a dohled;Mazání starých dat;Změna vstupů;Ovládání senzorů;Spínání alarmů
Kde se nejčastěji používá SCADA?;V průmyslové automatizaci, energetice, dopravě;V domácnostech;Ve školství;V klimatizacích;V malých spotřebičích
Jaký je rozdíl mezi SCADA a HMI?;SCADA je rozsáhlejší systém, HMI je jeho lokální část;HMI ukládá data, SCADA je zobrazuje;SCADA je v PLC, HMI v rozvaděči;SCADA ovládá čidla, HMI motor;HMI je nadřazený SCADA
Jak SCADA přispívá k bezpečnosti provozu?;Upozorňuje na chyby a umožňuje včasný zásah;Zvýší výkon motoru;Ovládá světla;Zesiluje proud;Změní barvu ovladačů
Jaká data zobrazuje SCADA?;Stavy zařízení, hodnoty veličin, alarmy, trendy;Časy příchodů zaměstnanců;Teplotu vzduchu v místnosti;Barevnost signálu;Rozměry rozvaděče
Co je dálkový dohled ve SCADA?;Možnost sledování a řízení procesu přes síť;Pozorování kamerou;Napájení z jiného místa;Změna barev displeje;Přenos optickým kabelem
Jaký je význam vizualizace pro údržbu?;Umožňuje rychle identifikovat závadu a zasáhnout;Zastavuje zařízení;Mění program;Zvyšuje proud;Snižuje tlak
Jaká je výhoda archivace dat?;Umožňuje analýzu trendů a optimalizaci provozu;Snižuje nároky na operátora;Ukládá hesla;Zrychluje řízení;Zvyšuje spotřebu
