Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je hydraulika?;Použití kapaliny k přenosu a řízení energie;Použití vzduchu k řízení;Použití elektřiny k přenosu dat;Použití světla v senzorice;Přenos plynu pod tlakem
Jaké médium se používá v hydraulických systémech?;Hydraulický olej;Stlačený vzduch;Voda;Pára;Ethanol
K čemu slouží čerpadlo v hydraulickém systému?;Zajišťuje oběh kapaliny a tlak;Reguluje průtok;Měří tlak;Filtruje nečistoty;Vypíná systém
Co je hydraulický válec?;Pohon převádějící tlak kapaliny na mechanický pohyb;Nádrž na olej;Snímač tlaku;Těsnění systému;Rozvaděč
Jaký je rozdíl mezi jednočinným a dvojčinným hydraulickým válcem?;Jednočinný pracuje pouze v jednom směru, dvojčinný v obou;Dvojčinný nevyužívá kapalinu;Jednočinný má dva výstupy;Dvojčinný se vrací pružinou;Jednočinný je elektricky řízen
K čemu slouží rozváděč v hydraulice?;Řídí směr proudění kapaliny;Zesiluje tlak;Napájí systém;Spojuje obvody;Měří teplotu
Co je akumulátor v hydraulickém systému?;Zařízení pro ukládání energie ve formě stlačené kapaliny;Časovač;Filtr;Zásobník oleje;Elektronický měřič
K čemu slouží tlakový ventil?;Udržuje nebo omezuje tlak v systému;Napájí snímače;Změkčuje olej;Měří průtok;Spíná motor
Co je zpětný ventil?;Propouští kapalinu jen jedním směrem;Zesiluje tlak;Měří teplotu;Reguluje rychlost;Ovládá čerpadlo
Jak se značí hydraulické čerpadlo ve schématu?;Kolečko s šipkou;Obdélník s čarou;Trojúhelník;Křížek;Písmeno M
Co je škrticí ventil?;Reguluje průtok kapaliny a tím rychlost pohybu;Uzavírá obvod;Spíná výstupy;Zajišťuje mazání;Změkčuje tlak
K čemu slouží filtr v hydraulickém systému?;Odstraňuje nečistoty z kapaliny;Zesiluje tlak;Zpětně vypouští olej;Napájí ventily;Snižuje hluk
Jaký je význam pracovní kapaliny v systému?;Přenáší energii a mazání;Sníma teplotu;Zesiluje průtok;Snižuje hlučnost;Zajišťuje osvětlení
K čemu slouží tlakový spínač?;Spíná nebo vypíná zařízení podle nastaveného tlaku;Reguluje teplotu;Napájí senzory;Zajišťuje mazání;Řídí světla
Co je hydrogenerátor?;Zdroj hydraulické energie – čerpadlo;Zásobník oleje;Ovládací ventil;Regulátor otáček;Elektronická řídicí jednotka
Jaké výhody má hydraulický pohon?;Velká síla, plynulý pohyb, přesnost;Nízká hmotnost;Nízká cena;Vysoká hlučnost;Nízká účinnost
Co je nevýhoda hydrauliky?;Možnost úniku kapaliny a znečištění;Nízký výkon;Obtížná regulace;Náročná údržba;Slabá síla
K čemu slouží nádrž v hydraulickém systému?;Zásoba a chlazení kapaliny;Zvýšení tlaku;Ovládání ventilu;Snížení odporu;Spuštění motoru
Jaký je rozdíl mezi hydraulikou a pneumatikou?;Hydraulika používá kapaliny, pneumatika vzduch;Hydraulika je hlučnější;Pneumatika je pomalejší;Hydraulika nepřenáší sílu;Pneumatika má vyšší účinnost
Kde se používají hydraulické systémy?;Lisování, zvedání, těžké stroje;Lehká mechanika;Domácí spotřebiče;Signalizace;Osvětlení
