Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je přehledové schéma?;Zjednodušené jednopólové instalační schéma;Schéma zapojení relé;Liniové schéma;Spojovací plán;Schéma rozvaděče
K čemu slouží vícepólové schéma?;Zobrazuje podrobné zapojení více vodičů;Zobrazuje prostorové umístění součástek;Používá se jen pro jističe;Zobrazuje pouze napájení;Zobrazuje topologii sítě
Jak se značí počet žil ve vodiči v jednopólovém schématu?;Počtem příčných čárek přes vedení;Barvou vodiče;Tloušťkou čáry;Typem izolace;Délkou čáry
Co je liniové schéma?;Ukazuje funkce elektrického zařízení;Zobrazuje pouze hlavní přívody;Slouží ke značení vodičů;Zobrazuje fyzické rozmístění součástek;Zobrazuje uzemnění
Jak jsou orientovány napájecí linie v liniovém schématu?;Svisle nebo vodorovně, + pól nahoře nebo vlevo;+ pól vždy dole;Vždy diagonálně;Nezáleží na orientaci;Pouze vodorovně
Co je kontaktní funkční schéma?;Zjednodušené liniové schéma zakreslené vodorovně;Schéma pro silové rozvody;Digitální výkres;Schéma chlazení;Spojovací plán motorů
Co ukazuje propojovací schéma?;Skutečné propojení mezi jednotlivými prvky;Přepětí v obvodu;Napájecí napětí;Funkci obvodu;Barvu vodičů
K čemu slouží schéma zapojení elektrického přístroje?;Zobrazuje vnitřní zapojení přístroje se všemi spoji;Zobrazuje polohu v rozvaděči;Ukazuje zemnění;Zobrazuje druhy kabelů;Vyhodnocuje poruchy
Co je spojovací schéma?;Zobrazuje elektrické spojení mezi přístroji jednoho zařízení;Zobrazuje signální proud;Zobrazuje napájecí zdroje;Schéma chlazení rozvaděče;Pouze schematické značení jističů
K čemu slouží přehledový plán rozvaděče?;Ukazuje rozložení a propojení prvků v rozvaděči;Zobrazuje chlazení;Zobrazuje programování;Určuje barvy tlačítek;Zobrazuje typy kabelů
Co určuje systém řídicího vedení?;Funkce, připojení a propojení řídicích obvodů;Barvu vodičů;Počet stykačů;Ochranu proti přepětí;Rozměry rozvaděče
Co je řízení s postupným spínáním?;Jednotlivé prvky se spínají v daném sledu;Vše se spíná současně;Pouze výstupní členy se spínají;Není řízeno logikou;Používá se jen v PLC
Co je reverzační zapojení?;Zapojení umožňující změnu směru otáčení motoru;Zapojení s časovým zpožděním;Zapojení s více stykači;Zapojení bez pojistek;Jednoduché reléové řízení
Co je automatické stykačové spouštění motorů?;Motor je spouštěn pomocí stykačů bez ručního zásahu;Motor se spouští ručně;Používá se jen při výpadku napájení;Využívá analogový senzor;Spínání probíhá impulsem
K čemu slouží návrh plošného spoje?;K vytvoření vodivého propojení mezi součástkami;K sestavení programového kódu;K montáži krytu rozvaděče;K návrhu mechanické skříně;K popisu algoritmu řízení
Jaké zásady platí pro návrh plošného spoje?;Minimalizace rušení, správná šířka cest, oddělení signálů;Použití modrých cest;Co nejvíce vrstev;Použití pevných drátů;Použití jednoho typu kondenzátoru
Co je význam operátorů v liniových schématech?;Řídí funkce a průběh spínání;Měří proud;Určují barvu čidel;Označují napájení;Zapisují výrobní čísla
K čemu slouží značení vodičů?;K identifikaci propojení a usnadnění servisu;Zvyšuje proud;Zajišťuje zemnění;Připojuje ochranné prvky;Slouží k chlazení
Jaký je účel elektrického výkresu?;Zobrazit elektrické zapojení a funkce obvodu;Zobrazit design rozvaděče;Zobrazit teplotu vodičů;Zobrazit výrobní proces;Zobrazit rychlost motoru
Kde se zakreslují prvky ve funkčním schématu?;V pořadí, jak přicházejí do činnosti;Dle velikosti;Podle barvy;Podle výrobce;Podle hmotnosti
