Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je PLC?;Programovatelný logický automat;Pojistka logického obvodu;Proudový limiter;Programovací jazyk;Ovládací panel
K čemu slouží PLC?;K řízení technologických procesů;K měření teploty;K napájení motorů;K přenosu dat;K zabezpečení sítě
Jaké jsou výhody použití PLC?;Spolehlivost, flexibilita, snadná změna programu;Nízká cena;Zmenšení velikosti obvodu;Zvýšení proudu;Zesílení signálu
Jak se programuje PLC?;Pomocí speciálního software v PC;Pomocí tlačítek na PLC;Manuálním nastavením přepínačů;Pomocí spínačů a relé;Pomocí mobilní aplikace
Co je to ladder diagram (LD)?;Grafické znázornění programu ve formě žebříčku;Schéma zapojení motoru;Popis elektrického vedení;Kód pro mikrořadič;Konstrukční výkres
Jaký jazyk se nejčastěji používá pro PLC?;Ladder diagram (LD);C++;Java;Python;Assembler
Jaké jsou části PLC?;CPU, vstupní a výstupní moduly, napájecí zdroj;Motor, převodovka, relé;Kondenzátor, odpor, cívka;Transformátor, jádro, kabel;Klávesnice, monitor, myš
Co je CPU v PLC?;Centrální procesorová jednotka, která zpracovává program;Napájecí zdroj;Výstupní modul;Chladicí jednotka;Paměťový čip
K čemu slouží vstupní modul v PLC?;Přijímá signály z čidel a tlačítek;Napájí celý systém;Spíná výstupy;Zobrazuje data;Ukládá program
K čemu slouží výstupní modul v PLC?;Ovládá akční členy (např. motory, ventily);Zpracovává program;Připojuje PC;Napájí vstupy;Ukládá historii
Jaký typ signálu může mít vstupní modul PLC?;Digitální nebo analogový;Pouze digitální;Pouze analogový;Mechanický;Zvukový
Jaký je hlavní rozdíl mezi digitálním a analogovým vstupem?;Digitální má 2 hodnoty, analogový spojité spektrum;Digitální měří napětí;Analogový je rychlejší;Digitální je starší;Analogový má jen 0 a 1
Co je výhoda PLC oproti klasickému řízení relé?;Snadná změna programu a menší poruchovost;Vyšší spotřeba;Lepší zvuk;Nižší výkon;Jednodušší drátování
Jak PLC vykonává program?;Skenuje vstupy, zpracuje logiku, nastaví výstupy;Řídí motor přímo;Generuje proud;Reguluje napětí;Změří odpor
K čemu slouží HMI zařízení?;Zajišťuje komunikaci mezi člověkem a PLC;Napájí senzory;Změří teplotu;Spíná výstupy;Zesiluje signál
Co je SCADA systém?;Nadřazený řídicí a monitorovací systém;Programovací jazyk;Záložní zdroj;Měřicí přístroj;Typ senzoru
K čemu slouží komunikační protokoly v PLC?;Umožňují výměnu dat mezi zařízeními;Zesilují signál;Zajišťují chlazení;Programují relé;Označují vodiče
Jaká je běžná struktura PLC programu?;Vstupy – zpracování – výstupy;Výstupy – vstupy – program;Kód – vstupy – záznam;Paměť – řízení – data;Nastavení – reset – start
Jak PLC detekuje změnu vstupu?;Pomocí pravidelného snímání (skenovací cyklus);Ručním nastavením;Přes analogové proudy;Přes internet;Hlasovým ovládáním
Jaké zařízení typicky komunikuje s PLC?;Čidla, motory, ventily, HMI;Televize;Mikrofon;Monitor;Mobilní telefon
