Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
K čemu slouží signalizace ve výrobních systémech?;Informuje obsluhu o stavech zařízení;Zesiluje výkon stroje;Zastavuje výrobu;Napájí senzory;Ovládá osvětlení
Jaké základní typy signalizace známe?;Optická, akustická, kombinovaná;Elektrická, pneumatická;Ruční, automatická;Světelná, teplotní;Mechanická, digitální
Co je optická signalizace?;Vizuální indikace stavu pomocí světla;Zvuková výstraha;Mechanický pohyb;Změna napětí;Zobrazování dat na monitoru
K čemu slouží akustická signalizace?;Upozorňuje zvukem na změnu nebo poruchu;Spíná motory;Měří hladinu;Napájí zařízení;Zesiluje signál
Jaké barvy se běžně používají pro signalizační světla?;Červená, žlutá, zelená, modrá, bílá;Růžová, oranžová, černá;Fialová, tyrkysová;Hnědá, šedá;Zlatá, stříbrná
Co signalizuje červené světlo?;Poruchu nebo nouzový stav;Normální provoz;Připravenost zařízení;Zapnutí systému;Žádný stav
Co signalizuje zelené světlo?;Provozní stav;Poruchu;Zastavení;Chybu systému;Resetování stroje
Co je to ovládací pult?;Zařízení umožňující obsluze ovládat technologii;Rozvodná skříň;Elektronická pojistka;Bezpečnostní zámek;Zdroj napájení
Jaké prvky obsahuje ovládací pult?;Tlačítka, přepínače, displeje, kontrolky;Senzory, ventily, čerpadla;Motor, převodovku, řemen;Jističe, pojistky, zásuvky;Kamery, mikrofony, reproduktory
K čemu slouží tlačítka START a STOP?;START spouští a STOP vypíná zařízení;START mění směr chodu;STOP přepíná režim;START nastavuje časovač;STOP aktivuje chlazení
Co je aretace tlačítka?;Zajištění v sepnuté poloze;Blokace proti použití;Odpojení od systému;Tlačítko se samo vrací;Změna funkce
K čemu slouží přepínač režimů?;Přepíná mezi automatickým a ručním řízením;Spouští alarm;Změní teplotu;Zesiluje signál;Změní barvu světla
Co je HMI panel?;Zařízení umožňující komunikaci člověka se strojem;Signalizační věž;Zdroj napětí;Regulační ventil;Kamerový systém
Jaká je výhoda HMI panelu?;Zobrazuje aktuální stav, umožňuje nastavení a řízení;Zmenšuje zařízení;Zvyšuje hlučnost;Zajišťuje napájení;Měří proud
Co znamená barevný displej na HMI?;Zobrazení stavu zařízení pomocí barev a symbolů;Pouze číselné údaje;Změnu rychlosti;Spuštění motoru;Přepínání režimů
Jaká je funkce kontrolky přítomnosti napětí?;Signalizuje, že je zařízení pod napětím;Měří napětí;Spouští alarm;Zhasíná světlo;Zpětně napájí senzor
K čemu slouží maják (signalizační věž)?;Zobrazuje provozní stavy různými barvami světla;Spíná silové obvody;Napájí PLC;Změří teplotu;Zesiluje signál
Jaké zvuky vydává akustická signalizace?;Houkačky, bzučáky, píšťalky;Melodie;Hlasové povely;Ultrazvuk;Vibrační tóny
Kde se nachází ovládací prvky ve výrobních systémech?;Na ovládacím panelu, HMI nebo rozvaděči;Uvnitř motoru;Na kabelu;Ve stykači;V PLC modulu
Proč je důležitá signalizace ve výrobě?;Zvyšuje bezpečnost a přehled o provozu;Zvyšuje hlučnost;Zvyšuje spotřebu energie;Zmenšuje výkon;Omezuje řízení
