Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je logické řízení?;Řízení pomocí dvouhodnotových logických funkcí;Řízení pomocí proudových zesilovačů;Mechanické ovládání;Regulace teploty;Ruční řízení
Jaké hodnoty používá dvouhodnotová logika?;1 a 0;2 a 3;5V a 12V;100 a 200;Ano a Ne
Které tři základní logické funkce tvoří úplný soubor?;NOT, AND, OR;NAND, NOR, XOR;XOR, AND, NAND;IF, ELSE, END;A, B, C
K čemu slouží logická funkce NOT?;Invertuje vstupní signál;Přenáší signál;Zesiluje signál;Zpožďuje signál;Detekuje chybu
Co je funkce AND?;Výstup je 1, když všechny vstupy jsou 1;Výstup je 0, když všechny vstupy jsou 1;Výstup je 1, když alespoň jeden vstup je 1;Výstup je vždy 1;Invertuje vstup
Co je funkce OR?;Výstup je 1, pokud alespoň jeden vstup je 1;Výstup je 1, pokud žádný vstup není 1;Výstup je 0 vždy;Vždy přerušuje signál;Spojuje signály do série
Jaká logická funkce je opakem AND?;NAND;NOR;XOR;NOT;OR
Co znamená zkratka NAND?;Negace funkce AND;Spojení NOT a OR;Zesilovač;Napěťový spínač;Negativní signál
Jaký je výstup funkce NOR, pokud jsou oba vstupy 0?;1;0;-1;Nelze určit;Závisí na čase
Jak zapisujeme logické funkce?;Booleovou algebrou, pravdivostní tabulkou, schématy;Grafickým schématem výpočtu;Pomocí UML diagramu;Číselným kódem;Binárním stromem
Jaký typ systému používá dvouhodnotové členy jako spínače?;Logický řídicí systém;Analogový systém;Hydraulický obvod;Pneumatický systém;Mechanický stroj
Co je kombinační logický obvod?;Výstup závisí pouze na kombinaci vstupních proměnných;Výstup závisí na předchozím stavu;Má paměť;Reaguje se zpožděním;Používá se pouze v PLC
Co je sekvenční logický obvod?;Výstup závisí na vstupech i jejich předchozím sledu;Výstup závisí pouze na vstupu;Nemá žádnou paměť;Pouze spíná světlo;Nelze ho programovat
Jak se značí stykač a relé ve schématu?;K;R;S;T;C
Co označuje KM5 ve schématu?;Stykač, který spíná motor číslo 5;Relé číslo 5;Motor číslo 5;Páté čidlo;Pátý logický obvod
Co je kontaktní řídicí systém?;Systém řízení pomocí kontaktů a tlačítek;Systém bezdrátového přenosu;Logický programovací jazyk;Výpočtový model;Pneumatická řídicí jednotka
Jaké napětí obvykle používá kontaktní řídicí systém?;24 V DC;230 V AC;12 V AC;5 V DC;48 V DC
Jak se označují funkční jednotky v řídicím systému?;Písmenem a číslem (např. K1, M2);Slovy;Barvou;Značkou a šipkou;Řádkem a sloupcem
Co je základní požadavek na logický řídicí systém?;Provozní spolehlivost;Barevné značení;Nízká cena;Vysoký výkon;Pomalá odezva
K čemu slouží dynamická šumová imunita?;Odolnost proti jednorázovým rušivým impulzům;Odolnost proti vysoké teplotě;Přesné spínání;Zvýšení rychlosti;Ochrana proti přepětí
