Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je pneumatika v automatizaci?;Použití stlačeného vzduchu k přenosu a řízení energie;Použití kapaliny k přenosu energie;Použití elektroniky k řízení;Použití světla v řízení;Přenos tepla potrubím
Jaký je hlavní zdroj energie v pneumatických systémech?;Stlačený vzduch;Voda;Elektrický proud;Hydraulický olej;Sluneční energie
K čemu slouží kompresor v pneumatickém systému?;Stlačuje vzduch pro pohon systémů;Ochlazuje vzduch;Zesiluje signál;Změkčuje tlak;Napájí senzory
Co je pneumatický válec?;Pohon převádějící tlak vzduchu na mechanický pohyb;Měřící prvek tlaku;Zásobník vzduchu;Zesilovač signálu;Kabelový konektor
Jaký je rozdíl mezi jednočinným a dvojčinným válcem?;Jednočinný pracuje v jednom směru, dvojčinný v obou;Dvojčinný nepotřebuje vzduch;Jednočinný pracuje s vodou;Jednočinný má zpětnou pružinu;Dvojčinný je menší
K čemu slouží rozváděč v pneumatice?;Řídí směr proudění vzduchu;Napájí motor;Změří tlak;Ovládá PLC;Zobrazuje otáčky
Jak se značí rozváděč 5/2?;Má 5 připojovacích portů a 2 pracovní polohy;Má 2 porty a 5 poloh;Je řízený tlakem;Používá se jen pro jednočinné válce;Má jen výstup a vstup
Co je filtr v pneumatickém systému?;Čistí vzduch od nečistot a vody;Zvyšuje tlak;Snižuje průtok;Zesiluje signál;Zpětně odvádí vzduch
K čemu slouží regulátor tlaku?;Udržuje stálý výstupní tlak;Spíná vzduchové čerpadlo;Zesiluje signál;Řídí rychlost válce;Změkčuje vzduch
Jaký je účel maznice v pneumatice?;Zajišťuje mazání prvků stlačeným olejem;Zvyšuje tlak;Snižuje vlhkost;Chladí kompresor;Připojuje hadice
Co je pracovní médium pneumatického systému?;Vzduch;Voda;Olej;Plyn s vysokou teplotou;Pára
K čemu slouží tlumič hluku v pneumatice?;Snižuje hluk při vypouštění vzduchu;Zesiluje hluk;Zvýší tlak;Měří průtok;Spíná výstup
Co je rychlostní škrticí ventil?;Omezuje průtok vzduchu pro řízení rychlosti pohybu;Zvyšuje tlak;Zesiluje průtok;Měří teplotu;Ovládá napětí
Jaký prvek se používá k návratu pístu jednočinného válce?;Pružina;Přetlak;Elektrický impuls;Magnet;Třecí síla
K čemu slouží koncový spínač?;Signalizuje dosažení koncové polohy;Zastavuje činnost PLC;Zapíná kompresor;Změří tlak;Zvyšuje otáčky
Jaký je symbol pro válec v pneumatickém schématu?;Obdélník s čárou a pístnicí;Kolečko s šipkou;Čára s tečkou;Trojúhelník;Křížek
K čemu slouží škrticí ventil s obtokem?;Umožňuje regulaci rychlosti v obou směrech;Přepíná tlakové větve;Zajišťuje mazání;Označuje směr proudu;Změří tlak vzduchu
Jaké barvy se nejčastěji používají pro pneumatické hadice?;Modrá a černá;Červená a zelená;Žlutá a bílá;Oranžová a šedá;Fialová a růžová
Jak se značí směr proudění vzduchu ve schématech?;Šipkou;Kolečkem;Čarou s bodem;Obdélníkem;Trojúhelníkem
K čemu slouží přepínací ventil?;Mění směr proudění podle signálu;Přepíná fáze;Měří vlhkost;Spíná PLC;Vypíná kompresor
