Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Proč je důležitá bezpečnost v automatizaci?;Zajišťuje ochranu osob, zařízení i dat;Zvyšuje spotřebu energie;Snižuje rychlost systému;Zesiluje signál;Zkracuje program
Co je normotvorná organizace?;Instituce, která vytváří technické a bezpečnostní normy;Výrobce senzorů;Škola techniky;Dodavatel PLC;Distribuční firma
Jaké normy se používají v automatizaci?;ISO, IEC, EN;DIN, JIS, JIT;EU, USA, ASIA;PLC, SCADA, HMI;RGB, CMYK, HEX
Co znamená značení CE?;Shoda s evropskými normami a bezpečnostními požadavky;Česká elektrotechnika;Certifikace zařízení;Připojení k síti;Označení výrobce
K čemu slouží bezpečnostní relé?;Zajišťuje funkci bezpečnostního obvodu a nouzové vypnutí;Přepíná směry;Zesiluje napětí;Zpožďuje proud;Řídí barvu světel
Co je bezpečnostní okruh?;Obvod sloužící k vypnutí systému při nebezpečí;Záložní napájení;Zesilovač signálu;Kódovaný vstup;Zpětná vazba
Co je STOP tlačítko?;Prvek pro okamžité nouzové zastavení zařízení;Tlačítko pro start systému;Přepínač režimu;Ovladač teploty;Napájecí zdroj
Jaká je barva nouzového STOP tlačítka?;Červená;Zelená;Modrá;Žlutá;Bílá
Jak se značí bezpečnostní obvody ve výkresech?;Silnější čarou nebo odlišnou barvou;Dvojitou čárou;Přerušovaně;Tečkovaně;Barevně neutrálně
Co znamená kategorie bezpečnosti?;Určuje úroveň bezpečnostního systému dle rizika;Vyjadřuje cenu zařízení;Značí typ motoru;Měří teplotu;Označuje druh vstupu
K čemu slouží světelná závora?;Detekuje vstup do nebezpečné zóny;Ovládá motor;Změří světelný tok;Napájí čidla;Reguluje napětí
Co je bezpečnostní dveřní spínač?;Snímač, který detekuje otevření dveří do nebezpečné části;Ovladač dveří;Magnetický spínač;Světelný senzor;Zvukový bzučák
Co je PL (Performance Level)?;Úroveň výkonnosti bezpečnostního systému;Míra spotřeby;Hluk zařízení;Teplotní odchylka;Zatížení motoru
K čemu slouží bezpečnostní skener?;Detekuje přítomnost osob ve vymezené oblasti;Skenuje QR kódy;Sníma barvy;Měří vzdálenost;Zesiluje signál
Jaký je účel krytování pohyblivých částí?;Zamezuje kontaktu s nebezpečnými částmi;Zvyšuje teplotu;Napájí motor;Zmenšuje rozměry;Zvyšuje výkon
Co je funkční bezpečnost?;Zajištění správné funkce zařízení i při poruše;Změna programu při chybě;Přepnutí zařízení do režimu spánku;Zvýšení rychlosti;Změna barvy HMI
Jaký je význam zkratky SIL?;Safety Integrity Level – úroveň bezpečnostní integrity;Standard Indukce Logiky;Systém Informačního Logování;Signalizační Inteligentní Linka;Střední Indikátor Logiky
Co je bezpečnostní PLC?;PLC určené pro bezpečnostní funkce a řízení;Záložní PLC jednotka;PLC s rozšířenou pamětí;PLC bez výstupních modulů;PLC s napěťovou ochranou
K čemu slouží mechanická blokace?;Zabrání pohybu nebo spuštění zařízení bez povolení;Uzamkne kryt;Změní směr motoru;Zpětně napájí systém;Změří napětí
Jak se zajišťuje ochrana proti přepětí?;Použitím přepěťových ochran a správného uzemnění;Zvýšením napětí;Zapojením do série;Použitím barevných vodičů;Zesílením proudových obvodů
