Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je elektromotor?;Stroj převádějící elektrickou energii na mechanickou;Zařízení na regulaci teploty;Měřicí přístroj;Akumulátor;Zdroj napětí
Jaké jsou hlavní části elektromotoru?;Stator, rotor, ložiska;Transformátor, cívka, jádro;Stykač, relé, kontakt;Kondenzátor, dioda, tyristor;Senzor, čidlo, spínač
Co je stator?;Pevná část motoru, vytváří magnetické pole;Otáčející se část;Mechanický rám;Elektronická pojistka;Snímač napětí
Co je rotor?;Otáčející se část motoru;Pevná část s vinutím;Vypínač;Zemní kontakt;Kryt motoru
Jaký je princip činnosti asynchronního motoru?;Magnetické pole statoru indukuje proud v rotoru;Motor má mechanické spínače;Funguje jako generátor;Pracuje pouze s baterií;Reguluje teplotu
Co je jmenovitý výkon motoru?;Maximální výkon při stanovených podmínkách;Nejnižší výkon motoru;Spotřeba motoru;Zkratový proud;Proud při rozběhu
Co znamená IP krytí?;Stupeň ochrany proti vniknutí cizích těles a vody;Výkon motoru;Zkratová ochrana;Proudová zatížitelnost;Typ napájení
Jaký je rozdíl mezi 1f a 3f motorem?;1f má jednofázové napájení, 3f trojfázové;1f je silnější;3f se používá v domácnostech;1f nevyžaduje spouštění;3f má menší rozměry
Jak se značí připojovací svorky 3f motoru?;U1, V1, W1 a U2, V2, W2;L1, L2, L3;N, PE, L;X1, X2, X3;P1, P2, P3
Co je Y-Δ spouštění?;Způsob spuštění motoru pomocí změny zapojení vinutí;Zpětné spouštění;Programovatelné spouštění;Spínání pomocí PLC;Ruční zapnutí
Jaké jsou výhody Y-Δ spouštění?;Snížení rozběhového proudu a zátěže;Zvýšení rychlosti motoru;Ochrana proti přetížení;Snížení hlučnosti;Jednodušší zapojení
Jak se značí motor ve schématu?;M;K;R;B;T
Co je moment setrvačnosti?;Schopnost motoru odolávat změnám otáček;Výkon motoru;Napětí při chodu naprázdno;Počet závitů;Proudový zisk
Jak se značí směr otáčení motoru?;Šipkou na krytu nebo na svorkovnici;Barvou vodiče;Kódem na štítku;Zvukovou signalizací;Značkou R/L
Co je reverzace motoru?;Změna směru otáčení;Změna napětí;Změna typu napájení;Změna zatížení;Změna krytí
Jak se provádí změna směru otáčení 3f motoru?;Záměnou dvou fází;Změnou napětí;Změnou proudu;Přepnutím jističe;Přepnutím kondenzátoru
Co je to jmenovitý proud?;Proud, který motor odebírá při jmenovitém zatížení;Maximální proud při zkratu;Proud při startu;Zkratový proud;Minimální proud při běhu
Jaký vliv má poddimenzování motoru?;Přehřívání a snížení životnosti;Úspora energie;Zvýšení výkonu;Zlepšení chlazení;Lepší účinnost
Jaká je funkce tepelné ochrany motoru?;Vypíná motor při přehřátí;Spíná motor při chladu;Zvyšuje otáčky;Zesiluje proud;Zajišťuje zemnění
Jaké druhy motorů znáš?;Stejnosměrné, asynchronní, synchronní, krokové;Optické, logické, magnetické;Lineární, kruhové, pulzní;Ruční, automatické, reléové;Jednotkové, paralelní, sériové
